Company,Position,Connected On
Udhyog 4.0,Machine Learning Intern,24-Dec-20
Tata Consultancy Services,Data Science Intern,24-Dec-20
We Define Net,Student influencer,24-Dec-20
,,24-Dec-20
Self employed,Self Employee,24-Dec-20
Personal,Product Engineer,24-Dec-20
,,24-Dec-20
Indian Servers - Software Development Company,Machine Learning Intern,24-Dec-20
Louis Dreyfus Company,Summer Intern,24-Dec-20
,,24-Dec-20
KPMG,Data Analytics Consulting Virtual Internship,24-Dec-20
Intel Corporation,Software Innovator program,24-Dec-20
Mittsure Technologies LLP,Sales and Marketing Engineer,24-Dec-20
NVIDIA,Deep Learning Research Intern,24-Dec-20
The Sparks Foundation,Intern,24-Dec-20
,,24-Dec-20
,,24-Dec-20
"BITS Pilani, Hyderabad Campus",Teaching Assistant,23-Dec-20
Michani,Founder,23-Dec-20
"Indian Institute of Technology, Kharagpur",Data Visualiser,23-Dec-20
Shell,Software Engineer,23-Dec-20
Fachhochschule Südwestfalen,Student Research Assistant,23-Dec-20
Alphaa AI,Artificial Intelligence Intern,23-Dec-20
Accenture,Junior Data Analyst(Process Associate),23-Dec-20
Amul Industries Pvt. Ltd.,Intern,23-Dec-20
The Sparks Foundation,Data Science and Business Analytics intern,23-Dec-20
SIGMA - The Business Club of NITT,Member,23-Dec-20
SI TELECOM PVT LTD,Data Analyst Intern,23-Dec-20
"Indian Institute Of Information Technology, Allahabad",Research Intern,23-Dec-20
HighRadius,Product Management Analyst,23-Dec-20
RoadMetrics,Co-Founder & COO,22-Dec-20
Dell Technologies,Business Intelligence Analyst,21-Dec-20
Cognizant,Programming Analyst,18-Dec-20
IEEE Photonics Society Student Chapter VIT Chennai,Committee Member,17-Dec-20
"Honda Research Institute USA, Inc.",Research Engineer,15-Dec-20
Technische Universiteit Delft,MSc Thesis Project,14-Dec-20
"Orzota, Inc.","Director - Engineering, India Development Center",14-Dec-20
ZS,Business Technology Analyst,14-Dec-20
Erasmus MC,Masteronderzoeker,13-Dec-20
Fathom,"Software Engineer, Machine Learning",12-Dec-20
Ultralytics LLC,Founder & CEO,12-Dec-20
omnireseaarch,Spanish translator,11-Dec-20
Teradata,Associate DevOps Engineer,10-Dec-20
Capgemini,Consultant,09-Dec-20
Diycam,Co Founder,08-Dec-20
Diycam,Co-Founder & CTO,08-Dec-20
Alphaa AI,Citizen Data Scientist Fellowship,03-Dec-20
McGill University,Graduate Student Research Assistant | Systems and Control,02-Dec-20
Qualcomm,Staff Engineer,01-Dec-20
Next EdVentures,Partner,27-Nov-20
Institut Photovoltaïque d'Ile-de-France (IPVF),Researcher PhD Student,25-Nov-20
Admitkard,Co-Founder,25-Nov-20
Bosch Center for Artificial Intelligence (BCAI),Research Scientist,24-Nov-20
"Deep Vision, Inc.",CEO,24-Nov-20
AI Accelerator Institute,Marketing Manager,23-Nov-20
Society of Hispanic Professional Engineers,Vice President (Co-founder),21-Nov-20
Deloitte,Consultant,19-Nov-20
Persistent Systems,Software Engineer,19-Nov-20
SwitchOn,Co-Founder,17-Nov-20
Siemens,Data Science - Working Student,17-Nov-20
Pointo,Full Stack Lead Developer,17-Nov-20
