Date,Type
23/12/2020 05:31,LIKE
14/12/2020 05:24,LIKE
13/12/2020 18:19,LIKE
11/12/2020 05:04,EMPATHY
06/12/2020 19:43,MAYBE
06/12/2020 13:43,LIKE
05/12/2020 02:19,EMPATHY
02/12/2020 04:17,INTEREST
01/12/2020 18:52,LIKE
01/12/2020 18:37,LIKE
30/11/2020 12:51,LIKE
27/11/2020 15:15,LIKE
24/11/2020 11:36,LIKE
21/11/2020 20:12,LIKE
20/11/2020 06:29,LIKE
19/11/2020 19:59,LIKE
09/11/2020 21:33,LIKE
06/11/2020 14:56,PRAISE
04/11/2020 08:30,LIKE
03/11/2020 16:08,LIKE
30/10/2020 08:57,LIKE
28/10/2020 15:55,PRAISE
24/10/2020 20:21,LIKE
22/10/2020 18:32,LIKE
22/10/2020 16:20,LIKE
21/10/2020 05:27,LIKE
20/10/2020 05:12,PRAISE
19/10/2020 10:47,PRAISE
17/10/2020 11:08,LIKE
16/10/2020 09:40,LIKE
16/10/2020 07:10,LIKE
16/10/2020 07:09,LIKE
16/10/2020 07:09,LIKE
16/10/2020 07:08,LIKE
16/10/2020 07:08,LIKE
16/10/2020 07:07,LIKE
14/10/2020 05:37,LIKE
14/10/2020 05:32,LIKE
13/10/2020 10:16,PRAISE
09/10/2020 20:53,LIKE
07/10/2020 17:50,LIKE
06/10/2020 13:04,LIKE
04/10/2020 19:22,LIKE
04/10/2020 10:07,LIKE
02/10/2020 06:10,LIKE
01/10/2020 10:05,LIKE
29/09/2020 16:29,LIKE
29/09/2020 13:45,LIKE
27/09/2020 14:57,LIKE
25/09/2020 09:44,LIKE
25/09/2020 05:48,LIKE
24/09/2020 07:41,LIKE
21/09/2020 17:56,LIKE
27/08/2020 22:17,LIKE
22/08/2020 10:21,EMPATHY
21/08/2020 06:57,LIKE
13/08/2020 17:26,PRAISE
08/08/2020 16:59,LIKE
06/08/2020 06:16,EMPATHY
31/07/2020 02:48,LIKE
31/07/2020 01:44,LIKE
27/07/2020 15:37,LIKE
21/07/2020 18:58,LIKE
19/07/2020 13:32,LIKE
18/07/2020 14:35,LIKE
08/07/2020 10:37,LIKE
08/07/2020 10:37,LIKE
25/06/2020 13:34,LIKE
18/06/2020 10:34,LIKE
17/06/2020 19:59,LIKE
16/06/2020 21:21,LIKE
12/06/2020 18:10,LIKE
10/06/2020 23:37,LIKE
10/06/2020 09:07,LIKE
10/06/2020 03:33,LIKE
07/06/2020 12:23,LIKE
07/06/2020 12:22,LIKE
05/06/2020 04:54,LIKE
05/06/2020 00:28,LIKE
01/06/2020 14:52,LIKE
31/05/2020 13:37,LIKE
26/05/2020 05:33,LIKE
19/05/2020 21:18,LIKE
19/05/2020 12:24,LIKE
17/05/2020 21:40,LIKE
08/05/2020 11:39,LIKE
08/05/2020 06:35,LIKE
07/05/2020 08:46,LIKE
05/05/2020 05:01,LIKE
28/04/2020 16:58,LIKE
24/04/2020 16:25,LIKE
24/03/2020 01:14,LIKE
27/02/2020 18:04,EMPATHY
27/02/2020 06:56,LIKE
20/02/2020 08:37,LIKE
23/11/2019 11:46,LIKE
20/07/2018 15:23,LIKE
11/07/2018 12:49,LIKE
30/06/2018 08:36,LIKE
25/06/2018 06:31,LIKE
18/06/2018 16:49,LIKE
16/03/2017 05:42,LIKE
17/02/2017 10:38,LIKE
06/08/2016 14:46,LIKE
17/04/2016 12:57,LIKE
16/04/2016 15:35,LIKE
11/04/2016 16:55,LIKE
04/04/2016 15:32,LIKE
28/03/2016 13:45,LIKE
23/03/2016 14:26,LIKE
